DATE,TIME,SITE,DATA ID,Barometer (mmHg),pH,pH (mV),ORP (mV),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (¡F),Sigma-T (s t),Sigma (s),ODO (% Sat),ODO (mg/L),ODO (% LocalB),Turbidty (FNU),TSS (mg/L)
6/29/17,10:58:11,<None>,,756.9,6.82,9.2,212.2,46.9,54.8,0.02,55.5,36,63.5,-1.3,-1.3,93.8,8.97,94.2,1.25,0
6/29/17,10:58:41,<None>,,757.1,6.74,13.7,206.9,47,54.9,0.02,55.6,36,63.5,-1.3,-1.3,93.5,8.94,93.9,1.44,0
6/29/17,10:59:11,<None>,,757.1,6.72,14.8,203.7,47,54.9,0.02,55.6,36,63.5,-1.3,-1.3,93.4,8.93,93.8,0.98,0
6/29/17,10:59:41,<None>,,757.1,6.71,15.6,199,47,54.9,0.02,55.6,36,63.5,-1.3,-1.3,93.4,8.93,93.7,0.6,0
6/29/17,11:00:11,<None>,,757.1,6.7,16,195.8,47,54.9,0.02,55.6,36,63.5,-1.3,-1.3,93.4,8.93,93.8,0.07,0
6/29/17,11:00:41,<None>,,757,6.7,16.5,193.2,47,54.9,0.02,55.6,36,63.5,-1.3,-1.3,93.4,8.93,93.8,0.01,0
6/29/17,11:01:11,<None>,,757,6.69,16.8,190.6,47.1,54.9,0.02,55.6,36,63.5,-1.3,-1.3,93.3,8.93,93.7,-0.08,0
6/29/17,11:01:41,<None>,,757.1,6.69,17,189.3,47.1,54.9,0.02,55.6,36,63.5,-1.3,-1.3,93.3,8.92,93.7,-0.09,0
6/29/17,11:02:11,<None>,,757,6.68,17.3,188.8,47.1,54.9,0.02,55.6,36,63.5,-1.3,-1.3,93.3,8.92,93.7,-0.16,0
6/29/17,11:02:41,<None>,,757,6.68,17.5,188,47.1,54.9,0.02,55.6,36,63.5,-1.3,-1.3,93.3,8.92,93.7,-0.24,0
6/29/17,11:03:11,<None>,,757,6.68,17.6,187,47.1,54.9,0.02,55.6,36,63.5,-1.3,-1.3,93.3,8.92,93.7,-0.22,0
6/29/17,11:03:41,<None>,,757,6.67,17.8,186,47.1,55,0.02,55.6,36,63.6,-1.3,-1.3,93.4,8.92,93.7,-0.21,0
6/29/17,11:04:11,<None>,,757,6.67,17.9,185.3,47.1,55,0.02,55.6,36,63.6,-1.3,-1.3,93.4,8.93,93.8,-0.28,0
6/29/17,11:04:41,<None>,,757.1,6.67,18,184.7,47.1,55,0.02,55.6,36,63.6,-1.3,-1.3,93.4,8.92,93.7,-0.3,0
6/29/17,11:05:11,<None>,,757,6.67,18.1,184,47.1,55,0.02,55.6,36,63.6,-1.3,-1.3,93.4,8.93,93.8,-0.26,0
6/29/17,11:05:41,<None>,,757,6.67,18.1,183.6,47.1,55,0.02,55.7,36,63.6,-1.3,-1.3,93.4,8.92,93.8,-0.23,0
6/29/17,11:06:11,<None>,,757,6.67,18.2,183.5,47.1,55,0.02,55.7,36,63.6,-1.3,-1.3,93.4,8.92,93.8,-0.25,0
6/29/17,11:06:41,<None>,,757,6.67,18.2,184.9,47.1,55,0.02,55.6,36,63.6,-1.3,-1.3,93.4,8.92,93.8,-0.25,0
6/29/17,11:07:11,<None>,,757,6.67,18.2,184.7,47.1,55,0.02,55.6,36,63.6,-1.3,-1.3,93.4,8.92,93.8,-0.2,0
6/29/17,11:07:41,<None>,,756.8,6.67,18.2,184,47.1,55,0.02,55.6,36,63.6,-1.3,-1.3,93.4,8.92,93.8,-0.32,0
6/29/17,11:08:11,<None>,,756.8,6.66,18.2,183.5,47.1,55,0.02,55.6,36,63.6,-1.3,-1.3,93.4,8.92,93.8,-0.24,0
6/29/17,11:08:41,<None>,,756.9,6.67,18.2,183,47.1,55,0.02,55.6,36,63.6,-1.3,-1.3,93.4,8.92,93.8,-0.32,0
6/29/17,11:09:11,<None>,,756.8,6.67,18.2,182.5,47.2,55,0.02,55.6,36,63.6,-1.3,-1.3,93.4,8.92,93.8,-0.32,0
6/29/17,11:09:41,<None>,,757,6.67,18.2,182,47.2,55,0.02,55.7,36,63.6,-1.3,-1.3,93.4,8.92,93.8,-0.24,0
6/29/17,11:10:11,<None>,,756.9,6.66,18.2,181.5,47.2,55,0.02,55.7,36,63.6,-1.3,-1.3,93.4,8.92,93.8,-0.29,0
6/29/17,11:10:41,<None>,,756.9,6.66,18.3,181.1,47.2,55,0.02,55.7,36,63.6,-1.3,-1.3,93.4,8.92,93.8,-0.31,0
6/29/17,11:11:11,<None>,,756.9,6.66,18.3,181,47.2,55,0.02,55.7,36,63.6,-1.3,-1.3,93.4,8.92,93.8,-0.28,0
6/29/17,11:11:41,<None>,,756.9,6.66,18.3,180.8,47.2,55,0.02,55.7,36,63.6,-1.3,-1.3,93.4,8.92,93.8,-0.34,0
6/29/17,11:12:11,<None>,,757,6.66,18.2,181,47.2,55,0.02,55.7,36,63.6,-1.3,-1.3,93.4,8.92,93.8,-0.29,0
6/29/17,11:12:41,<None>,,756.9,6.66,18.3,180.8,47.2,55,0.02,55.7,36,63.6,-1.3,-1.3,93.4,8.92,93.8,-0.3,0
