DATE,TIME,SITE,DATA ID,Barometer (mmHg),pH,pH (mV),ORP (mV),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (¡F),Sigma-T (s t),Sigma (s),ODO (% Sat),ODO (mg/L),ODO (% LocalB),Turbidty (FNU),TSS (mg/L)
8/3/17,10:31:08 AM,<None>,,751.2,7.14,-13.6,154.3,15.9,18.7,0.01,18.9,12,63.2,-1.3,-1.3,97.6,9.37,98.8,1.05,0
8/3/17,10:31:38 AM,<None>,,751.4,7.03,-7.5,157,15.9,18.7,0.01,19,12,62.5,-1.2,-1.2,98.1,9.49,99.3,0.44,0
8/3/17,10:32:08 AM,<None>,,751.3,6.91,-0.2,159.4,15.7,18.6,0.01,18.8,12,62.3,-1.2,-1.2,98.2,9.52,99.3,0.36,0
8/3/17,10:32:38 AM,<None>,,751.4,6.83,4.3,161,15.7,18.5,0.01,18.8,12,62.4,-1.2,-1.2,98.2,9.51,99.3,0.34,0
8/3/17,10:33:08 AM,<None>,,751.4,6.77,7.6,162.2,15.6,18.5,0.01,18.8,12,62.3,-1.2,-1.2,98.3,9.54,99.5,0.3,0
8/3/17,10:33:38 AM,<None>,,751.4,6.73,10.1,163.3,15.6,18.5,0.01,18.8,12,62.3,-1.2,-1.2,98.3,9.54,99.5,0.32,0
8/3/17,10:34:08 AM,<None>,,751.4,6.69,12.5,163.9,15.6,18.5,0.01,18.8,12,62.3,-1.2,-1.2,98.4,9.54,99.5,0.3,0
8/3/17,10:34:38 AM,<None>,,751.4,6.67,14,164.4,15.6,18.5,0.01,18.8,12,62.3,-1.2,-1.2,98.4,9.54,99.5,0.26,0
8/3/17,10:35:08 AM,<None>,,751.4,6.65,15,164.9,15.6,18.5,0.01,18.7,12,62.3,-1.2,-1.2,98.5,9.55,99.7,0.26,0
8/3/17,10:35:38 AM,<None>,,751.4,6.63,15.9,165.6,15.6,18.5,0.01,18.8,12,62.3,-1.2,-1.2,98.5,9.55,99.6,0.27,0
8/3/17,10:36:08 AM,<None>,,751.4,6.61,17,166.2,15.6,18.5,0.01,18.7,12,62.3,-1.2,-1.2,98.6,9.56,99.7,0.48,0
8/3/17,10:36:38 AM,<None>,,751.4,6.61,17.4,166.6,15.6,18.5,0.01,18.8,12,62.3,-1.2,-1.2,98.6,9.56,99.7,0.28,0
8/3/17,10:37:08 AM,<None>,,751.3,6.61,17.5,167,15.6,18.5,0.01,18.8,12,62.3,-1.2,-1.2,98.5,9.55,99.6,0.34,0
8/3/17,10:37:38 AM,<None>,,751.4,6.59,18.2,167.5,15.6,18.5,0.01,18.7,12,62.3,-1.2,-1.2,98.6,9.56,99.7,0.61,0
8/3/17,10:38:08 AM,<None>,,751.4,6.59,18.5,167.5,15.6,18.5,0.01,18.7,12,62.3,-1.2,-1.2,98.6,9.56,99.7,0.3,0
8/3/17,10:38:38 AM,<None>,,751.4,6.58,19,167.2,15.6,18.5,0.01,18.7,12,62.3,-1.2,-1.2,98.6,9.56,99.7,0.23,0
8/3/17,10:39:08 AM,<None>,,751.4,6.58,19.3,167.8,15.6,18.5,0.01,18.7,12,62.3,-1.2,-1.2,98.5,9.55,99.7,0.26,0
8/3/17,10:39:38 AM,<None>,,751.4,6.57,19.5,168.3,15.6,18.5,0.01,18.7,12,62.3,-1.2,-1.2,98.6,9.56,99.7,0.3,0
8/3/17,10:40:08 AM,<None>,,751.4,6.56,20,168.8,15.6,18.5,0.01,18.7,12,62.4,-1.2,-1.2,98.6,9.55,99.7,0.23,0
8/3/17,10:40:38 AM,<None>,,751.4,6.56,20.2,169.3,15.6,18.5,0.01,18.7,12,62.4,-1.2,-1.2,98.6,9.56,99.7,0.44,0
8/3/17,10:41:08 AM,<None>,,751.3,6.55,20.7,169.4,15.6,18.5,0.01,18.7,12,62.4,-1.2,-1.2,98.6,9.56,99.8,0.61,0
8/3/17,10:41:38 AM,<None>,,751.4,6.55,21,169.4,15.6,18.5,0.01,18.7,12,62.4,-1.2,-1.2,98.6,9.55,99.7,0.71,0
8/3/17,10:42:08 AM,<None>,,751.4,6.54,21.1,169.4,15.6,18.5,0.01,18.7,12,62.4,-1.2,-1.2,98.6,9.55,99.7,0.7,0
8/3/17,10:42:38 AM,<None>,,751.4,6.54,21.3,169.7,15.6,18.5,0.01,18.7,12,62.4,-1.2,-1.2,98.6,9.55,99.7,0.54,0
8/3/17,10:43:08 AM,<None>,,751.4,6.54,21.5,169,15.6,18.5,0.01,18.8,12,62.4,-1.2,-1.2,98.6,9.55,99.7,0.6,0
8/3/17,10:43:38 AM,<None>,,751.4,6.53,21.8,168.6,15.6,18.5,0.01,18.8,12,62.4,-1.2,-1.2,98.6,9.55,99.8,0.6,0
8/3/17,10:44:08 AM,<None>,,751.4,6.53,21.7,168.3,15.6,18.5,0.01,18.7,12,62.4,-1.2,-1.2,98.7,9.56,99.8,0.42,0
8/3/17,10:44:38 AM,<None>,,751.4,6.53,22.1,168.9,15.6,18.5,0.01,18.7,12,62.5,-1.2,-1.2,98.6,9.55,99.8,0.36,0
8/3/17,10:45:08 AM,<None>,,751.4,6.53,22.1,169.1,15.6,18.5,0.01,18.7,12,62.5,-1.2,-1.2,98.7,9.55,99.8,0.35,0
8/3/17,10:45:38 AM,<None>,,751.4,6.53,22.2,169.4,15.6,18.5,0.01,18.7,12,62.5,-1.2,-1.2,98.7,9.55,99.8,0.41,0
8/3/17,10:46:08 AM,<None>,,751.4,6.53,22.2,168.7,15.6,18.5,0.01,18.7,12,62.5,-1.2,-1.2,98.7,9.55,99.8,0.37,0
8/3/17,10:46:38 AM,<None>,,751.3,6.53,22.2,168.9,15.6,18.5,0.01,18.7,12,62.5,-1.2,-1.2,98.7,9.55,99.8,0.4,0
8/3/17,10:47:08 AM,<None>,,751.4,6.53,22.2,169.4,15.6,18.5,0.01,18.7,12,62.5,-1.2,-1.2,98.7,9.55,99.8,0.35,0
8/3/17,10:47:38 AM,<None>,,751.3,6.53,22.2,169.6,15.6,18.5,0.01,18.7,12,62.5,-1.2,-1.2,98.6,9.54,99.8,0.32,0
8/3/17,10:48:08 AM,<None>,,751.4,6.52,22.3,169.2,15.6,18.5,0.01,18.7,12,62.5,-1.2,-1.2,98.7,9.55,99.8,0.31,0
8/3/17,10:48:38 AM,<None>,,751.4,6.52,22.6,169.5,15.7,18.5,0.01,18.7,12,62.5,-1.2,-1.2,98.7,9.54,99.8,0.34,0
8/3/17,10:49:08 AM,<None>,,751.3,6.52,22.4,169.4,15.6,18.5,0.01,18.7,12,62.5,-1.2,-1.2,98.6,9.54,99.8,0.27,0
8/3/17,10:49:38 AM,<None>,,751.4,6.52,22.4,169.9,15.6,18.5,0.01,18.7,12,62.5,-1.2,-1.2,98.7,9.54,99.8,0.27,0
8/3/17,10:50:08 AM,<None>,,751.4,6.52,22.5,170.1,15.7,18.5,0.01,18.7,12,62.5,-1.2,-1.2,98.7,9.54,99.8,0.26,0
8/3/17,10:50:38 AM,<None>,,751.3,6.52,22.6,170.4,15.7,18.5,0.01,18.7,12,62.6,-1.2,-1.2,98.7,9.55,99.9,0.27,0
8/3/17,10:51:08 AM,<None>,,751.4,6.52,22.8,170.5,15.7,18.5,0.01,18.7,12,62.6,-1.2,-1.2,98.7,9.55,99.9,0.22,0
8/3/17,10:51:38 AM,<None>,,751.3,6.51,23,170.7,15.7,18.5,0.01,18.7,12,62.6,-1.2,-1.2,98.7,9.54,99.9,0.26,0
8/3/17,10:52:08 AM,<None>,,751.4,6.51,23.2,170.7,15.7,18.5,0.01,18.7,12,62.6,-1.2,-1.2,98.7,9.54,99.9,0.25,0
8/3/17,10:52:38 AM,<None>,,751.4,6.51,23,169.8,15.7,18.5,0.01,18.7,12,62.6,-1.2,-1.2,98.8,9.55,99.9,0.26,0
8/3/17,10:53:08 AM,<None>,,751.4,6.51,23,169.4,15.7,18.5,0.01,18.7,12,62.6,-1.2,-1.2,98.7,9.54,99.8,0.32,0
8/3/17,10:53:38 AM,<None>,,751.4,6.51,23.2,168.5,15.7,18.5,0.01,18.7,12,62.6,-1.2,-1.2,98.7,9.54,99.9,0.27,0
8/3/17,10:54:08 AM,<None>,,751.3,6.51,23.1,168.3,15.7,18.5,0.01,18.7,12,62.7,-1.2,-1.2,98.7,9.54,99.9,0.24,0
8/3/17,10:54:38 AM,<None>,,751.4,6.51,23.3,168.4,15.7,18.5,0.01,18.7,12,62.7,-1.2,-1.2,98.7,9.54,99.9,0.25,0
8/3/17,10:55:08 AM,<None>,,751.2,6.51,22.9,168.9,15.7,18.5,0.01,18.7,12,62.7,-1.2,-1.2,98.7,9.53,99.9,0.27,0
8/3/17,10:55:38 AM,<None>,,751.4,6.5,23.5,169.7,15.7,18.5,0.01,18.7,12,62.7,-1.2,-1.2,98.8,9.54,99.9,0.28,0
8/3/17,10:56:08 AM,<None>,,751.3,6.51,23.2,169.2,15.7,18.5,0.01,18.7,12,62.7,-1.2,-1.2,98.8,9.54,99.9,0.29,0
8/3/17,10:56:38 AM,<None>,,751.3,6.51,23.4,169.3,15.7,18.5,0.01,18.7,12,62.7,-1.2,-1.2,98.7,9.53,99.9,0.23,0
8/3/17,10:57:08 AM,<None>,,751.3,6.5,23.7,169.6,15.7,18.5,0.01,18.7,12,62.7,-1.2,-1.2,98.8,9.53,99.9,0.31,0
8/3/17,10:57:38 AM,<None>,,751.3,6.5,23.7,170.2,15.7,18.5,0.01,18.7,12,62.7,-1.2,-1.2,98.8,9.53,99.9,0.28,0
8/3/17,10:58:08 AM,<None>,,751.4,6.5,24,169.9,15.7,18.5,0.01,18.7,12,62.7,-1.2,-1.2,98.8,9.53,99.9,0.26,0
8/3/17,10:58:38 AM,<None>,,751.3,6.5,23.6,170,15.7,18.5,0.01,18.7,12,62.8,-1.2,-1.2,98.8,9.53,99.9,0.24,0
8/3/17,10:59:08 AM,<None>,,751.2,6.5,23.5,170,15.7,18.5,0.01,18.7,12,62.8,-1.2,-1.2,98.8,9.53,99.9,0.2,0
8/3/17,10:59:38 AM,<None>,,751.3,6.5,23.7,170.2,15.7,18.5,0.01,18.7,12,62.8,-1.2,-1.2,98.8,9.53,100,0.3,0
8/3/17,11:00:08 AM,<None>,,751.3,6.5,23.7,170,15.7,18.5,0.01,18.7,12,62.8,-1.2,-1.2,98.7,9.52,99.9,0.29,0
8/3/17,11:00:38 AM,<None>,,751.3,6.5,23.6,169.8,15.7,18.5,0.01,18.7,12,62.8,-1.2,-1.2,98.7,9.52,99.9,0.33,0
8/3/17,11:01:08 AM,<None>,,751.3,6.5,23.5,170,15.7,18.5,0.01,18.7,12,62.8,-1.2,-1.2,98.8,9.52,99.9,0.54,0
8/3/17,11:01:38 AM,<None>,,751.3,6.5,23.8,169.8,15.7,18.5,0.01,18.7,12,62.8,-1.2,-1.2,98.8,9.52,99.9,0.3,0
8/3/17,11:02:08 AM,<None>,,751.4,6.5,23.6,169.5,15.7,18.5,0.01,18.7,12,62.9,-1.2,-1.2,98.8,9.52,99.9,0.27,0
8/3/17,11:02:38 AM,<None>,,751.2,6.5,23.5,168.9,15.7,18.5,0.01,18.7,12,62.9,-1.2,-1.2,98.7,9.51,99.9,0.28,0
8/3/17,11:03:08 AM,<None>,,751.2,6.51,23.3,168.8,15.7,18.5,0.01,18.7,12,62.9,-1.2,-1.2,98.7,9.51,99.9,0.25,0
8/3/17,11:03:38 AM,<None>,,751.2,6.5,23.5,168.9,15.7,18.5,0.01,18.7,12,62.9,-1.2,-1.2,98.7,9.51,99.9,0.31,0
8/3/17,11:04:08 AM,<None>,,751.3,6.5,23.6,169.2,15.7,18.5,0.01,18.7,12,62.9,-1.2,-1.2,98.8,9.51,99.9,0.32,0
8/3/17,11:04:38 AM,<None>,,751.1,6.5,23.6,169.7,15.7,18.5,0.01,18.7,12,62.9,-1.2,-1.2,98.8,9.51,99.9,0.26,0
8/3/17,11:05:08 AM,<None>,,751.3,6.51,23.4,169.5,15.7,18.5,0.01,18.7,12,62.9,-1.2,-1.2,98.7,9.5,99.8,0.27,0
8/3/17,11:05:38 AM,<None>,,751.2,6.5,23.6,169.9,15.7,18.5,0.01,18.7,12,62.9,-1.2,-1.2,98.8,9.51,99.9,0.27,0
8/3/17,11:06:08 AM,<None>,,751.2,6.51,23.4,169.7,15.7,18.5,0.01,18.7,12,62.9,-1.2,-1.2,98.8,9.51,99.9,0.3,0
8/3/17,11:06:38 AM,<None>,,751.3,6.51,23.3,170.2,15.7,18.5,0.01,18.7,12,62.9,-1.2,-1.2,98.7,9.5,99.8,0.22,0
8/3/17,11:07:08 AM,<None>,,751.2,6.51,23.4,169.8,15.7,18.4,0.01,18.7,12,63,-1.3,-1.3,98.8,9.5,99.9,0.28,0
8/3/17,11:07:38 AM,<None>,,751.2,6.5,23.5,169.8,15.7,18.5,0.01,18.7,12,63,-1.3,-1.3,98.7,9.5,99.9,0.31,0
8/3/17,11:08:08 AM,<None>,,751.3,6.5,23.7,170.3,15.7,18.5,0.01,18.7,12,63,-1.3,-1.3,98.8,9.5,99.9,0.29,0
