DATE,TIME,SITE,DATA ID,Barometer (mmHg),pH,pH (mV),ORP (mV),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (¡F),Sigma-T (s t),Sigma (s),ODO (% Sat),ODO (mg/L),ODO (% LocalB),Turbidty (FNU),TSS (mg/L)
9/21/17,10:43:31 AM,<None>,,761.5,6.87,7.6,135.1,347.5,423.7,0.2,429.9,275,60,-0.8,-0.8,93.8,9.33,93.6,11.35,0
9/21/17,10:44:01 AM,<None>,,761.5,7.38,-21.8,108.2,350.6,427.5,0.21,433.7,278,60.1,-0.8,-0.8,93.4,9.29,93.2,10.34,0
9/21/17,10:44:31 AM,<None>,,761.4,7.51,-29.7,101.1,350.2,427.1,0.21,433.3,278,60,-0.8,-0.8,93.2,9.27,93,3.56,0
9/21/17,10:45:01 AM,<None>,,761.4,7.54,-31.4,92.7,349.6,426.4,0.21,432.6,277,60,-0.8,-0.8,93.2,9.27,93,1.73,0
9/21/17,10:45:31 AM,<None>,,761.4,7.56,-32.1,86.6,349.6,426.5,0.21,432.7,277,60,-0.8,-0.8,93.2,9.28,93.1,0.97,0
9/21/17,10:46:01 AM,<None>,,761.4,7.56,-32.4,82,350.2,426.9,0.21,433.2,278,60.1,-0.8,-0.8,93.3,9.28,93.1,0.38,0
9/21/17,10:46:31 AM,<None>,,761.5,7.57,-32.7,78.3,350.4,427.2,0.21,433.4,278,60,-0.8,-0.8,93.2,9.27,93.1,-0.02,0
9/21/17,10:47:01 AM,<None>,,761.4,7.57,-32.7,75.4,350.1,427,0.21,433.3,278,60,-0.8,-0.8,93.3,9.28,93.1,-0.22,0
9/21/17,10:47:31 AM,<None>,,761.4,7.57,-32.7,73,350,426.9,0.21,433.2,277,60,-0.8,-0.8,93.3,9.28,93.1,-0.26,0
9/21/17,10:48:01 AM,<None>,,761.5,7.57,-32.7,71,350.2,427,0.21,433.3,278,60.1,-0.8,-0.8,93.4,9.29,93.2,-0.26,0
9/21/17,10:48:31 AM,<None>,,761.5,7.57,-33,69.1,350.6,427.5,0.21,433.7,278,60.1,-0.8,-0.8,93.3,9.28,93.2,-0.23,0
9/21/17,10:49:01 AM,<None>,,761.4,7.57,-33.1,67.7,350.5,427.3,0.21,433.6,278,60,-0.8,-0.8,93.3,9.28,93.1,-0.36,0
9/21/17,10:49:31 AM,<None>,,761.4,7.57,-33.1,66.1,350.2,427.3,0.21,433.6,278,60,-0.8,-0.8,93.3,9.29,93.2,-0.36,0
9/21/17,10:50:01 AM,<None>,,761.6,7.57,-33,64.6,350.5,427.9,0.21,434.2,278,60,-0.8,-0.8,93.3,9.29,93.1,-0.45,0
9/21/17,10:50:31 AM,<None>,,761.5,7.57,-33,63.4,350.2,427.4,0.21,433.6,278,60,-0.8,-0.8,93.3,9.28,93.1,-0.43,0
9/21/17,10:51:01 AM,<None>,,761.4,7.57,-32.9,62.3,350.2,427.3,0.21,433.6,278,60,-0.8,-0.8,93.4,9.29,93.2,-0.42,0
9/21/17,10:51:31 AM,<None>,,761.4,7.57,-33,61.4,350.1,427.2,0.21,433.5,278,60,-0.8,-0.8,93.2,9.28,93.1,-0.37,0
9/21/17,10:52:01 AM,<None>,,761.5,7.57,-33.1,60.6,350.3,427.4,0.21,433.6,278,60,-0.8,-0.8,93.3,9.29,93.1,-0.36,0
9/21/17,10:52:31 AM,<None>,,761.5,7.57,-33.1,59.7,350,426.9,0.21,433.2,278,60,-0.8,-0.8,93.3,9.29,93.2,-0.46,0
9/21/17,10:53:01 AM,<None>,,761.4,7.57,-33.2,59,350.2,427.1,0.21,433.4,278,60,-0.8,-0.8,93.3,9.29,93.1,-0.37,0
9/21/17,10:53:31 AM,<None>,,761.4,7.58,-33.5,58.2,350.3,427.1,0.21,433.4,278,60,-0.8,-0.8,93.3,9.28,93.1,-0.41,0
9/21/17,10:54:01 AM,<None>,,761.4,7.58,-33.5,57.6,350.1,426.9,0.21,433.2,278,60,-0.8,-0.8,93.3,9.29,93.2,-0.48,0
9/21/17,10:54:31 AM,<None>,,761.3,7.58,-33.7,57,350.4,427.1,0.21,433.3,278,60.1,-0.8,-0.8,93.3,9.28,93.1,-0.37,0
9/21/17,10:55:01 AM,<None>,,761.3,7.58,-33.8,56.2,350.3,426.9,0.21,433.2,278,60.1,-0.8,-0.8,93.3,9.28,93.2,-0.4,0
9/21/17,10:55:31 AM,<None>,,761.4,7.59,-33.9,55.9,350.5,427,0.21,433.2,278,60.1,-0.8,-0.8,93.4,9.28,93.2,-0.37,0
9/21/17,10:56:01 AM,<None>,,761.4,7.59,-34.1,55.5,350.5,427.2,0.21,433.4,278,60.1,-0.8,-0.8,93.3,9.27,93.1,-0.45,0
9/21/17,10:56:31 AM,<None>,,761.4,7.58,-33.8,54.9,349.9,426.9,0.21,433.2,277,60,-0.8,-0.8,93.3,9.29,93.1,-0.38,0
9/21/17,10:57:01 AM,<None>,,761.3,7.58,-33.5,54.3,349.6,426.7,0.21,433,277,60,-0.8,-0.8,93.4,9.29,93.2,-0.36,0
9/21/17,10:57:31 AM,<None>,,761.3,7.58,-33.6,53.8,349.7,426.5,0.21,432.7,277,60,-0.8,-0.8,93.3,9.28,93.2,-0.48,0
9/21/17,10:58:01 AM,<None>,,761.3,7.58,-33.5,53.2,349.6,426.6,0.21,432.8,277,60,-0.8,-0.8,93.3,9.29,93.1,-0.41,0
9/21/17,10:58:31 AM,<None>,,761.3,7.58,-33.6,52.7,349.5,426.8,0.21,433,277,59.9,-0.8,-0.8,93.2,9.29,93.1,-0.46,0
9/21/17,10:59:01 AM,<None>,,761.3,7.58,-33.5,52.6,349.2,426.3,0.21,432.5,277,60,-0.8,-0.8,93.3,9.29,93.1,-0.42,0
9/21/17,10:59:31 AM,<None>,,761.3,7.58,-33.5,52.7,349.2,426.3,0.21,432.6,277,60,-0.8,-0.8,93.3,9.29,93.2,-0.49,0
9/21/17,11:00:01 AM,<None>,,761.3,7.58,-33.5,52.6,349.1,426.3,0.21,432.5,277,59.9,-0.8,-0.8,93.3,9.29,93.1,-0.47,0
9/21/17,11:00:31 AM,<None>,,761.4,7.58,-33.4,52.5,349.1,426.1,0.21,432.3,277,60,-0.8,-0.8,93.3,9.29,93.1,-0.49,0
9/21/17,11:01:01 AM,<None>,,761.4,7.58,-33.6,52,349.3,426.2,0.21,432.4,277,60,-0.8,-0.8,93.3,9.29,93.1,-0.17,0
9/21/17,11:01:31 AM,<None>,,761.4,7.59,-33.8,51.7,349.3,426.2,0.21,432.5,277,60,-0.8,-0.8,93.3,9.29,93.1,-0.22,0
9/21/17,11:02:01 AM,<None>,,761.3,7.59,-33.8,51.4,349.1,426.2,0.21,432.4,277,60,-0.8,-0.8,93.4,9.3,93.2,-0.37,0
9/21/17,11:02:31 AM,<None>,,761.3,7.58,-33.8,51.3,349.1,426,0.21,432.3,277,60,-0.8,-0.8,93.4,9.29,93.2,-0.28,0
9/21/17,11:03:01 AM,<None>,,761.4,7.58,-33.8,51.1,349.2,426,0.21,432.3,277,60,-0.8,-0.8,93.4,9.29,93.2,-0.35,0
9/21/17,11:03:31 AM,<None>,,761.4,7.59,-33.9,50.6,349.3,426.1,0.21,432.4,277,60,-0.8,-0.8,93.4,9.29,93.2,-0.35,0
9/21/17,11:04:01 AM,<None>,,761.3,7.59,-34.1,50.4,349.5,426.2,0.21,432.4,277,60,-0.8,-0.8,93.4,9.29,93.2,-0.38,0
9/21/17,11:04:31 AM,<None>,,761.3,7.59,-34.2,50.1,349.6,426.5,0.21,432.7,277,60,-0.8,-0.8,93.4,9.29,93.2,-0.28,0
9/21/17,11:05:01 AM,<None>,,761.5,7.59,-34.3,49.8,349.7,426.4,0.21,432.6,277,60,-0.8,-0.8,93.3,9.28,93.1,-0.3,0
9/21/17,11:05:31 AM,<None>,,761.3,7.59,-34.3,49.5,349.5,426.3,0.21,432.6,277,60,-0.8,-0.8,93.3,9.29,93.2,-0.37,0
9/21/17,11:06:01 AM,<None>,,761.5,7.6,-34.4,49.2,349.6,426.2,0.21,432.4,277,60,-0.8,-0.8,93.3,9.28,93.1,-0.42,0
9/21/17,11:06:31 AM,<None>,,761.5,7.59,-34.3,49.1,349.5,426.2,0.21,432.4,277,60,-0.8,-0.8,93.4,9.29,93.2,-0.36,0
9/21/17,11:07:01 AM,<None>,,761.5,7.6,-34.4,48.5,349.5,426.1,0.21,432.3,277,60.1,-0.8,-0.8,93.3,9.28,93.2,-0.35,0
9/21/17,11:07:31 AM,<None>,,761.5,7.59,-34.3,48.3,349.2,426.1,0.21,432.3,277,60,-0.8,-0.8,93.4,9.29,93.2,-0.35,0
9/21/17,11:08:01 AM,<None>,,761.4,7.59,-34.2,48.3,349.2,425.9,0.21,432.1,277,60,-0.8,-0.8,93.4,9.29,93.2,-0.28,0
9/21/17,11:08:31 AM,<None>,,761.4,7.59,-34.3,48.2,349.2,426.1,0.21,432.3,277,60,-0.8,-0.8,93.4,9.29,93.2,-0.44,0
9/21/17,11:09:01 AM,<None>,,761.5,7.6,-34.4,48.1,349.3,426.2,0.21,432.5,277,60,-0.8,-0.8,93.4,9.3,93.2,-0.46,0
9/21/17,11:09:31 AM,<None>,,761.4,7.59,-34.4,47.8,349.2,426,0.21,432.2,277,60,-0.8,-0.8,93.3,9.29,93.2,-0.4,0
9/21/17,11:10:01 AM,<None>,,761.4,7.6,-34.4,47.5,349.1,425.7,0.21,431.9,277,60,-0.8,-0.8,93.4,9.29,93.3,-0.17,0
9/21/17,11:10:31 AM,<None>,,761.4,7.6,-34.6,47.2,349.4,426,0.21,432.3,277,60,-0.8,-0.8,93.4,9.29,93.2,-0.42,0
9/21/17,11:11:01 AM,<None>,,761.6,7.6,-34.7,46.8,349.6,426.1,0.21,432.4,277,60.1,-0.8,-0.8,93.3,9.28,93.1,-0.42,0
9/21/17,11:11:31 AM,<None>,,761.5,7.6,-34.6,46.6,349.2,426,0.21,432.2,277,60,-0.8,-0.8,93.4,9.29,93.2,-0.43,0
9/21/17,11:12:01 AM,<None>,,761.4,7.6,-34.8,46.5,349.2,426,0.21,432.2,277,60,-0.8,-0.8,93.4,9.29,93.2,-0.43,0
9/21/17,11:12:31 AM,<None>,,761.5,7.6,-34.8,46.4,349.2,425.8,0.21,432.1,277,60,-0.8,-0.8,93.4,9.29,93.2,-0.54,0
9/21/17,11:13:01 AM,<None>,,761.4,7.6,-34.8,46.2,349.4,426.2,0.21,432.4,277,60,-0.8,-0.8,93.3,9.29,93.2,-0.43,0
9/21/17,11:13:31 AM,<None>,,761.4,7.6,-34.9,45.9,349.2,426,0.21,432.2,277,60,-0.8,-0.8,93.4,9.29,93.2,-0.4,0
9/21/17,11:14:01 AM,<None>,,761.5,7.61,-35,45.6,349.4,426,0.21,432.2,277,60,-0.8,-0.8,93.4,9.29,93.2,-0.41,0
9/21/17,11:14:31 AM,<None>,,761.5,7.61,-35,45.3,349.4,426.1,0.21,432.3,277,60,-0.8,-0.8,93.4,9.29,93.2,-0.43,0
9/21/17,11:15:01 AM,<None>,,761.6,7.6,-35,44.9,349.7,426.1,0.21,432.3,277,60.1,-0.8,-0.8,93.4,9.29,93.3,-0.48,0
9/21/17,11:15:31 AM,<None>,,761.6,7.61,-35.1,44.6,349.4,426.1,0.21,432.3,277,60,-0.8,-0.8,93.4,9.29,93.2,-0.41,0
9/21/17,11:16:01 AM,<None>,,761.6,7.61,-35,44.4,349.1,425.7,0.21,431.9,277,60,-0.8,-0.8,93.4,9.29,93.2,-0.4,0
9/21/17,11:16:31 AM,<None>,,761.5,7.61,-35.2,44.2,349.3,425.8,0.21,432,277,60.1,-0.8,-0.8,93.4,9.29,93.2,-0.46,0
9/21/17,11:17:01 AM,<None>,,761.5,7.61,-35.4,44.2,349.7,426,0.21,432.2,277,60.1,-0.8,-0.8,93.5,9.29,93.3,-0.45,0
9/21/17,11:17:31 AM,<None>,,761.5,7.61,-35.4,44.2,349.5,426,0.21,432.2,277,60.1,-0.8,-0.8,93.4,9.29,93.3,-0.46,0
9/21/17,11:18:01 AM,<None>,,761.5,7.61,-35.4,44.3,349.7,426.3,0.21,432.5,277,60.1,-0.8,-0.8,93.4,9.29,93.2,-0.34,0
9/21/17,11:18:31 AM,<None>,,761.5,7.61,-35.5,44.1,349.6,425.9,0.21,432.2,277,60.1,-0.8,-0.8,93.5,9.29,93.3,-0.4,0
9/21/17,11:19:01 AM,<None>,,761.5,7.62,-35.6,43.9,349.8,426.3,0.21,432.5,277,60.1,-0.8,-0.8,93.4,9.29,93.2,-0.39,0
9/21/17,11:19:31 AM,<None>,,761.4,7.62,-35.7,43.7,349.6,425.8,0.21,432,277,60.1,-0.8,-0.8,93.4,9.29,93.3,-0.54,0
9/21/17,11:20:01 AM,<None>,,761.5,7.62,-35.8,43.5,349.7,426,0.21,432.2,277,60.1,-0.8,-0.8,93.3,9.27,93.1,-0.48,0
9/21/17,11:20:31 AM,<None>,,761.5,7.62,-35.8,43.4,349.9,426,0.21,432.2,277,60.2,-0.8,-0.8,93.4,9.28,93.3,-0.43,0
9/21/17,11:21:01 AM,<None>,,761.5,7.62,-35.7,43.5,349.5,425.8,0.21,432,277,60.1,-0.8,-0.8,93.4,9.28,93.2,-0.5,0
9/21/17,11:21:31 AM,<None>,,761.4,7.62,-35.7,43.5,349.5,426,0.21,432.3,277,60.1,-0.8,-0.8,93.4,9.28,93.2,-0.43,0
9/21/17,11:22:01 AM,<None>,,761.4,7.62,-35.7,43.4,349.4,425.9,0.21,432.1,277,60.1,-0.8,-0.8,93.4,9.29,93.2,-0.44,0
9/21/17,11:22:31 AM,<None>,,761.4,7.62,-35.7,43.2,349.3,425.9,0.21,432.1,277,60,-0.8,-0.8,93.4,9.29,93.2,-0.35,0
9/21/17,11:23:01 AM,<None>,,761.4,7.62,-36,42.9,350,426,0.21,432.2,277,60.2,-0.8,-0.8,93.5,9.28,93.3,-0.46,0
9/21/17,11:23:31 AM,<None>,,761.4,7.62,-36,42.8,349.5,425.7,0.21,431.9,277,60.1,-0.8,-0.8,93.3,9.27,93.2,-0.38,0
9/21/17,11:24:01 AM,<None>,,761.5,7.62,-35.9,42.8,349.5,425.7,0.21,431.9,277,60.1,-0.8,-0.8,93.4,9.28,93.3,-0.4,0
