DATE,TIME,SITE,DATA ID,Barometer (mmHg),pH,pH (mV),ORP (mV),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (¡F),Sigma-T (s t),Sigma (s),ODO (% Sat),ODO (mg/L),ODO (% LocalB),Turbidty (FNU),TSS (mg/L)
10/10/17,10:19:38 AM,<None>,,759.1,7.58,-33.7,125.5,341.7,412.6,0.2,418.4,268,60.8,-0.9,-0.9,91.8,9.05,91.9,1.09,0
10/10/17,10:20:08 AM,<None>,,759.2,7.58,-33.6,119.3,341.8,412.7,0.2,418.5,268,60.8,-0.9,-0.9,91.9,9.06,92,0.99,0
10/10/17,10:20:38 AM,<None>,,759.2,7.58,-33.4,113.7,341.8,412.7,0.2,418.5,268,60.8,-0.9,-0.9,91.8,9.05,91.9,1.08,0
10/10/17,10:21:08 AM,<None>,,759.2,7.58,-33.3,108,341.8,412.7,0.2,418.5,268,60.8,-0.9,-0.9,91.8,9.05,91.9,1.13,0
10/10/17,10:21:38 AM,<None>,,759.2,7.57,-33.2,103.4,341.9,412.7,0.2,418.6,268,60.8,-0.9,-0.9,91.9,9.06,92,1.09,0
10/10/17,10:22:08 AM,<None>,,759.2,7.57,-33.3,100.1,341.9,412.7,0.2,418.5,268,60.8,-0.9,-0.9,91.8,9.05,91.9,1.08,0
10/10/17,10:22:38 AM,<None>,,759.2,7.58,-33.5,98.6,341.9,412.8,0.2,418.6,268,60.8,-0.9,-0.9,92,9.07,92.1,1.06,0
10/10/17,10:23:08 AM,<None>,,759.2,7.58,-33.3,96,342.9,413.8,0.2,419.6,269,60.9,-0.9,-0.9,92,9.06,92.1,1.25,0
10/10/17,10:23:38 AM,<None>,,759.2,7.58,-33.4,94.4,342,412.8,0.2,418.6,268,60.8,-0.9,-0.9,91.9,9.06,92,1.39,0
10/10/17,10:24:08 AM,<None>,,759.3,7.58,-33.4,92.5,342.1,412.9,0.2,418.7,268,60.8,-0.9,-0.9,92,9.06,92.1,1.2,0
10/10/17,10:24:38 AM,<None>,,759.3,7.58,-33.3,91,342.1,412.9,0.2,418.7,268,60.8,-0.9,-0.9,92,9.07,92.1,1.12,0
10/10/17,10:25:08 AM,<None>,,759.3,7.57,-33.2,89,342.1,412.9,0.2,418.8,268,60.8,-0.9,-0.9,92,9.06,92.1,0.97,0
10/10/17,10:25:38 AM,<None>,,759.2,7.57,-33.2,87.1,342.2,412.9,0.2,418.8,268,60.9,-0.9,-0.9,92,9.07,92.1,0.97,0
10/10/17,10:26:08 AM,<None>,,759.3,7.57,-33.3,87.4,342.2,412.9,0.2,418.8,268,60.9,-0.9,-0.9,92.1,9.07,92.2,0.97,0
10/10/17,10:26:38 AM,<None>,,759.2,7.57,-33.1,86.6,342.2,413,0.2,418.8,268,60.9,-0.9,-0.9,92.1,9.07,92.2,0.96,0
10/10/17,10:27:08 AM,<None>,,759.2,7.57,-33.1,85.8,342.2,413,0.2,418.8,268,60.9,-0.9,-0.9,92.1,9.07,92.2,0.97,0
10/10/17,10:27:38 AM,<None>,,759.3,7.57,-32.9,84.9,342.2,413,0.2,418.8,268,60.9,-0.9,-0.9,92,9.07,92.1,1.05,0
10/10/17,10:28:08 AM,<None>,,759.2,7.57,-32.8,83.6,342.3,413,0.2,418.8,268,60.9,-0.9,-0.9,92.1,9.07,92.1,1.17,0
10/10/17,10:28:38 AM,<None>,,759.2,7.57,-32.7,83.3,342.3,413,0.2,418.9,268,60.9,-0.9,-0.9,92.1,9.07,92.2,1.09,0
10/10/17,10:29:08 AM,<None>,,759.3,7.56,-32.6,82.2,342.3,413,0.2,418.9,268,60.9,-0.9,-0.9,92.1,9.07,92.2,1.2,0
10/10/17,10:29:38 AM,<None>,,759.2,7.56,-32.4,81.5,342.3,413,0.2,418.9,268,60.9,-0.9,-0.9,92.1,9.07,92.2,1.29,0
10/10/17,10:30:08 AM,<None>,,759.2,7.56,-32.2,80.7,342.3,413,0.2,418.8,268,60.9,-0.9,-0.9,92,9.07,92.1,1.33,0
10/10/17,10:30:38 AM,<None>,,759.2,7.56,-32.1,80.1,342.4,413,0.2,418.9,268,60.9,-0.9,-0.9,92.1,9.07,92.2,1.36,0
10/10/17,10:31:08 AM,<None>,,759.2,7.55,-31.8,78.2,342.3,413,0.2,418.8,268,60.9,-0.9,-0.9,92,9.06,92.1,1.38,0
10/10/17,10:31:38 AM,<None>,,759.2,7.55,-31.7,76.8,342.4,413.1,0.2,418.9,268,60.9,-0.9,-0.9,92.1,9.07,92.2,1.37,0
10/10/17,10:32:08 AM,<None>,,759.2,7.55,-31.8,77.2,342.4,413,0.2,418.9,268,60.9,-0.9,-0.9,92.1,9.07,92.2,1.3,0
10/10/17,10:32:38 AM,<None>,,759.3,7.55,-31.8,77.7,342.4,413,0.2,418.8,268,60.9,-0.9,-0.9,92.1,9.07,92.2,1.33,0
10/10/17,10:33:08 AM,<None>,,759.2,7.55,-31.8,78.4,342.4,413,0.2,418.8,268,60.9,-0.9,-0.9,92.2,9.08,92.3,1.25,0
10/10/17,10:33:38 AM,<None>,,759.2,7.55,-31.6,78.4,342.5,413,0.2,418.8,268,60.9,-0.9,-0.9,92.1,9.07,92.2,1.3,0
10/10/17,10:34:08 AM,<None>,,759.2,7.54,-31.5,77.8,342.5,413,0.2,418.8,268,60.9,-0.9,-0.9,92.1,9.07,92.2,1.28,0
10/10/17,10:34:38 AM,<None>,,759.3,7.54,-31.5,77,342.5,413,0.2,418.8,268,60.9,-0.9,-0.9,92.1,9.07,92.2,1.17,0
10/10/17,10:35:08 AM,<None>,,759.2,7.54,-31.5,76.5,342.5,413,0.2,418.8,268,60.9,-0.9,-0.9,92.1,9.07,92.2,1.19,0
10/10/17,10:35:38 AM,<None>,,759.2,7.54,-31.3,75.4,342.5,413,0.2,418.8,268,60.9,-0.9,-0.9,92.1,9.06,92.2,1.2,0
10/10/17,10:36:08 AM,<None>,,759.2,7.54,-31.4,75.2,342.6,413,0.2,418.9,268,60.9,-0.9,-0.9,92.1,9.07,92.2,1.21,0
10/10/17,10:36:38 AM,<None>,,759.3,7.54,-31.5,75.4,342.6,413,0.2,418.8,268,60.9,-0.9,-0.9,92.1,9.07,92.2,1.13,0
10/10/17,10:37:08 AM,<None>,,759.3,7.54,-31.4,75.1,342.6,413,0.2,418.9,268,60.9,-0.9,-0.9,92.1,9.06,92.1,1.28,0
10/10/17,10:37:38 AM,<None>,,759.3,7.54,-31.5,74.5,342.7,413.1,0.2,419,269,60.9,-0.9,-0.9,92.1,9.07,92.2,1.19,0
10/10/17,10:38:08 AM,<None>,,759.2,7.54,-31.5,74.6,342.7,413.1,0.2,419,269,60.9,-0.9,-0.9,92.1,9.06,92.2,1.3,0
10/10/17,10:38:38 AM,<None>,,759.2,7.54,-31.5,74.7,342.8,413.2,0.2,419,269,60.9,-0.9,-0.9,92.1,9.07,92.2,1.27,0
10/10/17,10:39:08 AM,<None>,,759.3,7.54,-31.5,74,342.8,413.2,0.2,419.1,269,60.9,-0.9,-0.9,92.1,9.06,92.1,1.32,0
10/10/17,10:39:38 AM,<None>,,759.4,7.55,-31.6,73.7,342.9,413.2,0.2,419.1,269,60.9,-0.9,-0.9,92.1,9.07,92.2,1.2,0
10/10/17,10:40:08 AM,<None>,,759.3,7.55,-31.6,74,342.9,413.3,0.2,419.1,269,60.9,-0.9,-0.9,92.1,9.06,92.2,1.27,0
10/10/17,10:40:38 AM,<None>,,759.3,7.54,-31.5,73.6,342.9,413.3,0.2,419.1,269,61,-0.9,-0.9,92.1,9.06,92.2,1.22,0
10/10/17,10:41:08 AM,<None>,,759.3,7.55,-31.6,73.1,342.9,413.3,0.2,419.1,269,61,-0.9,-0.9,92.1,9.06,92.2,1.2,0
10/10/17,10:41:38 AM,<None>,,759.2,7.55,-31.6,72.5,343,413.3,0.2,419.1,269,61,-0.9,-0.9,92.1,9.06,92.2,1.22,0
10/10/17,10:42:08 AM,<None>,,759.3,7.54,-31.5,71.5,343,413.3,0.2,419.2,269,61,-0.9,-0.9,92,9.05,92.1,1.1,0
10/10/17,10:42:38 AM,<None>,,759.4,7.55,-31.7,71.3,343.1,413.4,0.2,419.2,269,61,-0.9,-0.9,92.1,9.06,92.2,1.04,0
10/10/17,10:43:08 AM,<None>,,759.4,7.55,-31.8,71.4,343.1,413.4,0.2,419.2,269,61,-0.9,-0.9,92.1,9.06,92.1,1.03,0
10/10/17,10:43:38 AM,<None>,,759.4,7.55,-32,72.1,343.1,413.4,0.2,419.2,269,61,-0.9,-0.9,92.2,9.07,92.2,1.02,0
10/10/17,10:44:08 AM,<None>,,759.5,7.55,-32,72,343.2,413.4,0.2,419.2,269,61,-0.9,-0.9,92.1,9.06,92.2,1.01,0
10/10/17,10:44:38 AM,<None>,,759.3,7.55,-32,71.2,343.1,413.4,0.2,419.2,269,61,-0.9,-0.9,92.1,9.06,92.2,1.05,0
10/10/17,10:45:08 AM,<None>,,759.3,7.55,-32,70.5,343.2,413.4,0.2,419.2,269,61,-0.9,-0.9,92,9.05,92.1,1.02,0
10/10/17,10:45:38 AM,<None>,,759.3,7.55,-32,70.2,343.2,413.4,0.2,419.2,269,61,-0.9,-0.9,92.1,9.06,92.1,1.01,0
10/10/17,10:46:08 AM,<None>,,759.5,7.56,-32.2,70.1,343.2,413.4,0.2,419.2,269,61,-0.9,-0.9,92.1,9.06,92.2,1,0
10/10/17,10:46:38 AM,<None>,,759.3,7.56,-32.3,70.2,343.3,413.4,0.2,419.3,269,61,-0.9,-0.9,92.1,9.06,92.2,1.04,0
10/10/17,10:47:08 AM,<None>,,759.4,7.56,-32.2,70.2,343.3,413.5,0.2,419.3,269,61,-0.9,-0.9,92.1,9.06,92.2,1.04,0
10/10/17,10:47:38 AM,<None>,,759.4,7.56,-32.3,69.8,343.3,413.5,0.2,419.3,269,61,-0.9,-0.9,92.1,9.06,92.2,0.94,0
10/10/17,10:48:08 AM,<None>,,759.4,7.56,-32.4,69.7,343.3,413.5,0.2,419.3,269,61,-0.9,-0.9,92.1,9.06,92.2,0.95,0
10/10/17,10:48:38 AM,<None>,,759.4,7.56,-32.5,69.4,343.4,413.5,0.2,419.3,269,61,-0.9,-0.9,92.1,9.06,92.2,0.94,0
10/10/17,10:49:08 AM,<None>,,759.3,7.56,-32.5,68.7,343.4,413.5,0.2,419.3,269,61,-0.9,-0.9,92.1,9.06,92.2,0.99,0
10/10/17,10:49:38 AM,<None>,,759.4,7.56,-32.6,69,343.4,413.5,0.2,419.3,269,61,-0.9,-0.9,92.1,9.06,92.2,1.04,0
10/10/17,10:50:08 AM,<None>,,759.3,7.56,-32.6,69,343.5,413.5,0.2,419.3,269,61,-0.9,-0.9,92.1,9.06,92.2,1.07,0
10/10/17,10:50:38 AM,<None>,,759.3,7.57,-32.7,69,343.5,413.6,0.2,419.4,269,61,-0.9,-0.9,92.1,9.06,92.2,1.05,0
10/10/17,10:51:08 AM,<None>,,759.4,7.57,-32.8,68.7,343.5,413.6,0.2,419.4,269,61,-0.9,-0.9,92.1,9.06,92.2,1.05,0
10/10/17,10:51:38 AM,<None>,,759.3,7.57,-32.8,68.4,343.5,413.6,0.2,419.4,269,61,-0.9,-0.9,92,9.05,92.1,0.99,0
10/10/17,10:52:08 AM,<None>,,759.5,7.57,-32.9,68.4,343.6,413.6,0.2,419.4,269,61.1,-0.9,-0.9,92.1,9.05,92.1,0.97,0
10/10/17,10:52:38 AM,<None>,,759.5,7.57,-33,68.2,343.6,413.6,0.2,419.4,269,61.1,-0.9,-0.9,92.1,9.05,92.2,1.01,0
10/10/17,10:53:08 AM,<None>,,759.5,7.57,-32.9,67.8,343.7,413.6,0.2,419.4,269,61.1,-0.9,-0.9,92,9.05,92.1,0.97,0
10/10/17,10:53:38 AM,<None>,,759.5,7.57,-32.9,66.5,343.7,413.7,0.2,419.4,269,61.1,-0.9,-0.9,92,9.04,92.1,1.03,0
10/10/17,10:54:08 AM,<None>,,759.5,7.57,-33.1,66.3,343.7,413.7,0.2,419.5,269,61.1,-0.9,-0.9,92.1,9.05,92.1,0.97,0
10/10/17,10:54:38 AM,<None>,,759.4,7.57,-33,65.9,343.7,413.6,0.2,419.4,269,61.1,-0.9,-0.9,92,9.04,92.1,0.96,0
10/10/17,10:55:08 AM,<None>,,759.4,7.57,-33.2,65.9,343.8,413.7,0.2,419.5,269,61.1,-0.9,-0.9,92.1,9.05,92.2,0.9,0
10/10/17,10:55:38 AM,<None>,,759.4,7.58,-33.4,66.4,343.8,413.7,0.2,419.5,269,61.1,-0.9,-0.9,92.1,9.05,92.2,0.94,0
10/10/17,10:56:08 AM,<None>,,759.4,7.58,-33.5,66.9,343.8,413.7,0.2,419.5,269,61.1,-0.9,-0.9,92.1,9.05,92.2,0.87,0
10/10/17,10:56:38 AM,<None>,,759.3,7.58,-33.6,67.1,343.9,413.7,0.2,419.5,269,61.1,-0.9,-0.9,92.1,9.05,92.2,0.95,0
10/10/17,10:57:08 AM,<None>,,759.4,7.58,-33.6,66.6,343.9,413.8,0.2,419.5,269,61.1,-0.9,-0.9,92.1,9.05,92.2,0.86,0
10/10/17,10:57:38 AM,<None>,,759.4,7.58,-33.7,66.7,343.9,413.8,0.2,419.5,269,61.1,-0.9,-0.9,92.1,9.05,92.2,0.91,0
10/10/17,10:58:08 AM,<None>,,759.2,7.58,-33.7,66.4,344,413.8,0.2,419.6,269,61.1,-0.9,-0.9,92.1,9.05,92.2,0.95,0
10/10/17,10:58:38 AM,<None>,,759.3,7.58,-33.8,65.7,344,413.8,0.2,419.5,269,61.1,-0.9,-0.9,92.1,9.04,92.2,0.89,0
10/10/17,10:59:08 AM,<None>,,759.3,7.58,-33.8,65.6,344,413.8,0.2,419.6,269,61.1,-0.9,-0.9,92.1,9.04,92.1,1.01,0
10/10/17,10:59:38 AM,<None>,,759.3,7.59,-33.9,65.4,344.1,413.8,0.2,419.6,269,61.1,-0.9,-0.9,92.1,9.05,92.2,0.95,0
10/10/17,11:00:08 AM,<None>,,759.4,7.59,-34,65.2,344.1,413.8,0.2,419.6,269,61.1,-0.9,-0.9,92.1,9.05,92.2,0.9,0
10/10/17,11:00:38 AM,<None>,,759.3,7.59,-34.1,65.4,344.1,413.8,0.2,419.6,269,61.1,-0.9,-0.9,92.1,9.05,92.2,0.87,0
10/10/17,11:01:08 AM,<None>,,759.5,7.59,-34.2,65.6,344.2,413.9,0.2,419.6,269,61.1,-0.9,-0.9,92.1,9.05,92.2,0.89,0
10/10/17,11:01:38 AM,<None>,,759.5,7.59,-34.2,65.2,344.2,413.9,0.2,419.6,269,61.1,-0.9,-0.9,92.1,9.04,92.2,0.99,0
10/10/17,11:02:08 AM,<None>,,759.5,7.59,-34.1,63.9,344.2,413.9,0.2,419.7,269,61.1,-0.9,-0.9,92,9.04,92.1,1.01,0
10/10/17,11:02:38 AM,<None>,,759.3,7.59,-34.4,64,344.3,413.9,0.2,419.7,269,61.1,-0.9,-0.9,92.1,9.04,92.2,0.92,0
10/10/17,11:03:08 AM,<None>,,759.4,7.6,-34.5,64.7,344.3,413.9,0.2,419.7,269,61.1,-0.9,-0.9,92.1,9.04,92.2,0.89,0
10/10/17,11:03:38 AM,<None>,,759.4,7.6,-34.5,64,344.3,414,0.2,419.7,269,61.2,-0.9,-0.9,92.1,9.04,92.2,0.92,0
10/10/17,11:04:08 AM,<None>,,759.4,7.6,-34.6,63.5,344.3,413.9,0.2,419.7,269,61.2,-0.9,-0.9,92.1,9.04,92.2,0.93,0
10/10/17,11:04:38 AM,<None>,,759.4,7.6,-34.7,63.6,344.3,413.9,0.2,419.7,269,61.2,-0.9,-0.9,92.1,9.04,92.2,0.89,0
10/10/17,11:05:08 AM,<None>,,759.2,7.6,-34.8,63.6,344.4,413.9,0.2,419.7,269,61.2,-0.9,-0.9,92.1,9.04,92.2,0.92,0
10/10/17,11:05:38 AM,<None>,,759.2,7.6,-34.8,63.7,344.4,413.9,0.2,419.7,269,61.2,-0.9,-0.9,92.1,9.04,92.2,0.94,0
10/10/17,11:06:08 AM,<None>,,759.4,7.6,-34.8,63.5,344.4,413.9,0.2,419.7,269,61.2,-0.9,-0.9,92,9.04,92.1,0.88,0
10/10/17,11:06:38 AM,<None>,,759.4,7.6,-35,63.4,344.5,414,0.2,419.8,269,61.2,-0.9,-0.9,92.1,9.04,92.2,0.96,0
10/10/17,11:07:08 AM,<None>,,759.4,7.61,-35.2,63.9,344.5,414,0.2,419.8,269,61.2,-0.9,-0.9,92.1,9.04,92.2,0.91,0
10/10/17,11:07:38 AM,<None>,,759.4,7.61,-35.1,63.4,344.5,414,0.2,419.8,269,61.2,-0.9,-0.9,92.1,9.03,92.1,0.87,0
10/10/17,11:08:08 AM,<None>,,759.4,7.61,-35.3,63.2,344.6,414.1,0.2,419.8,269,61.2,-0.9,-0.9,92.1,9.04,92.2,0.92,0
10/10/17,11:08:38 AM,<None>,,759.4,7.61,-35.4,63.3,344.6,414.1,0.2,419.8,269,61.2,-0.9,-0.9,92.1,9.04,92.2,0.93,0
10/10/17,11:09:08 AM,<None>,,759.5,7.61,-35.5,63.4,344.6,414,0.2,419.8,269,61.2,-0.9,-0.9,92.1,9.04,92.2,0.91,0
10/10/17,11:09:38 AM,<None>,,759.3,7.61,-35.4,62.7,344.7,414.1,0.2,419.8,269,61.2,-0.9,-0.9,92,9.03,92.1,0.86,0
10/10/17,11:10:08 AM,<None>,,759.5,7.61,-35.5,62.3,344.7,414.1,0.2,419.9,269,61.2,-0.9,-0.9,92.1,9.03,92.1,0.94,0
10/10/17,11:10:38 AM,<None>,,759.4,7.61,-35.5,61.8,344.8,414.1,0.2,419.9,269,61.2,-0.9,-0.9,92.1,9.03,92.2,0.94,0
10/10/17,11:11:08 AM,<None>,,759.4,7.62,-35.7,61.9,344.8,414.1,0.2,419.9,269,61.2,-0.9,-0.9,92.1,9.04,92.2,0.95,0
10/10/17,11:11:38 AM,<None>,,759.4,7.62,-35.7,61.7,344.8,414.1,0.2,419.9,269,61.2,-0.9,-0.9,92.1,9.03,92.1,0.87,0
10/10/17,11:12:08 AM,<None>,,759.5,7.62,-35.8,61.3,344.8,414.1,0.2,419.9,269,61.2,-0.9,-0.9,92.1,9.04,92.2,0.88,0
10/10/17,11:12:38 AM,<None>,,759.5,7.62,-35.9,61.8,344.9,414.2,0.2,419.9,269,61.2,-0.9,-0.9,92.1,9.04,92.2,0.85,0
10/10/17,11:13:08 AM,<None>,,759.4,7.62,-35.9,61.9,344.9,414.2,0.2,419.9,269,61.3,-0.9,-0.9,92.1,9.04,92.2,0.85,0
10/10/17,11:13:38 AM,<None>,,759.5,7.62,-36.1,62.3,345,414.2,0.2,419.9,269,61.3,-0.9,-0.9,92.1,9.04,92.2,0.97,0
10/10/17,11:14:08 AM,<None>,,759.5,7.62,-36.1,62.3,345,414.2,0.2,420,269,61.3,-0.9,-0.9,92.1,9.03,92.2,0.93,0
10/10/17,11:14:38 AM,<None>,,759.5,7.63,-36.2,62.5,345,414.2,0.2,420,269,61.3,-0.9,-0.9,92.1,9.03,92.2,0.94,0
10/10/17,11:15:08 AM,<None>,,759.5,7.63,-36.2,62.2,345,414.2,0.2,419.9,269,61.3,-0.9,-0.9,92.1,9.03,92.2,0.93,0
10/10/17,11:15:38 AM,<None>,,759.5,7.63,-36.3,62.4,345,414.2,0.2,420,269,61.3,-0.9,-0.9,92.1,9.03,92.2,1.01,0
10/10/17,11:16:08 AM,<None>,,759.5,7.63,-36.3,62,345.1,414.2,0.2,420,269,61.3,-0.9,-0.9,92.1,9.03,92.2,0.96,0
10/10/17,11:16:38 AM,<None>,,759.4,7.63,-36.3,61.5,345.1,414.3,0.2,420,269,61.3,-0.9,-0.9,92.1,9.03,92.1,1.07,0
10/10/17,11:17:08 AM,<None>,,759.4,7.63,-36.3,61.3,345.2,414.3,0.2,420,269,61.3,-0.9,-0.9,92.1,9.03,92.1,0.99,0
10/10/17,11:17:38 AM,<None>,,759.5,7.63,-36.5,61.3,345.2,414.3,0.2,420,269,61.3,-0.9,-0.9,92.1,9.03,92.2,0.99,0
10/10/17,11:18:08 AM,<None>,,759.4,7.63,-36.5,61.5,345.2,414.3,0.2,420,269,61.3,-0.9,-0.9,92.1,9.03,92.1,1.07,0
10/10/17,11:18:38 AM,<None>,,759.5,7.63,-36.4,61.2,345.2,414.3,0.2,420,269,61.3,-0.9,-0.9,92,9.02,92.1,1.02,0
10/10/17,11:19:08 AM,<None>,,759.4,7.63,-36.5,61.2,345.3,414.3,0.2,420,269,61.3,-0.9,-0.9,92.1,9.02,92.1,1,0
10/10/17,11:19:38 AM,<None>,,759.5,7.63,-36.5,60.5,345.3,414.3,0.2,420.1,269,61.3,-0.9,-0.9,92,9.02,92,1.05,0
10/10/17,11:20:08 AM,<None>,,759.5,7.63,-36.6,60.3,345.3,414.3,0.2,420,269,61.3,-0.9,-0.9,92,9.02,92.1,1.04,0
10/10/17,11:20:38 AM,<None>,,759.5,7.63,-36.6,60,345.3,414.3,0.2,420.1,269,61.3,-0.9,-0.9,92,9.02,92.1,0.96,0
10/10/17,11:21:08 AM,<None>,,759.5,7.63,-36.7,60.1,345.3,414.3,0.2,420,269,61.3,-0.9,-0.9,92,9.02,92.1,0.98,0
10/10/17,11:21:38 AM,<None>,,759.5,7.64,-36.8,60.5,345.4,414.3,0.2,420.1,269,61.3,-0.9,-0.9,92.1,9.02,92.2,0.98,0
10/10/17,11:22:08 AM,<None>,,759.5,7.64,-36.9,61,345.4,414.3,0.2,420.1,269,61.3,-0.9,-0.9,92,9.02,92.1,1.02,0
10/10/17,11:22:38 AM,<None>,,759.5,7.64,-37,61.4,345.4,414.3,0.2,420,269,61.3,-0.9,-0.9,92.1,9.03,92.2,0.93,0
10/10/17,11:23:08 AM,<None>,,759.5,7.64,-37.1,61.7,345.5,414.4,0.2,420.1,269,61.3,-0.9,-0.9,92.1,9.03,92.2,0.94,0
10/10/17,11:23:38 AM,<None>,,759.5,7.64,-37.1,61.7,345.5,414.4,0.2,420.1,269,61.3,-0.9,-0.9,92.1,9.02,92.2,0.95,0
10/10/17,11:24:08 AM,<None>,,759.5,7.64,-37.1,61,345.6,414.4,0.2,420.1,269,61.4,-0.9,-0.9,92.1,9.02,92.2,0.92,0
10/10/17,11:24:38 AM,<None>,,759.5,7.64,-37.1,61.3,345.6,414.4,0.2,420.1,269,61.4,-0.9,-0.9,92.1,9.02,92.1,0.86,0
10/10/17,11:25:08 AM,<None>,,759.5,7.64,-37.2,61.2,345.7,414.4,0.2,420.2,269,61.4,-1,-1,92.1,9.02,92.2,0.85,0
10/10/17,11:25:38 AM,<None>,,759.5,7.64,-37.3,61,345.7,414.5,0.2,420.2,269,61.4,-1,-1,92.1,9.02,92.2,0.87,0
10/10/17,11:26:08 AM,<None>,,759.5,7.64,-37.3,60.4,345.7,414.4,0.2,420.2,269,61.4,-1,-1,92.1,9.02,92.1,0.95,0
